date,region,product,units_sold,revenue,cost
2026-01-05,North,Widget A,120,3600,2100
2026-01-05,South,Widget A,95,2850,1750
2026-01-05,East,Widget B,60,2400,1500
2026-01-05,West,Widget B,45,1800,1150
2026-01-12,North,Widget A,110,3300,1950
2026-01-12,South,Widget A,102,3060,1850
2026-01-12,East,Widget B,72,2880,1750
2026-01-12,West,Widget B,50,2000,1250
2026-01-19,North,Widget A,135,4050,2350
2026-01-19,South,Widget A,20,600,500
2026-01-19,East,Widget B,65,2600,1600
2026-01-19,West,Widget B,48,1920,1200
2026-01-26,North,Widget A,128,3840,2200
2026-01-26,South,Widget A,98,2940,1800
2026-01-26,East,Widget B,300,12000,7000
2026-01-26,West,Widget B,52,2080,1300
2026-02-02,North,Widget A,140,4200,2450
2026-02-02,South,Widget A,105,3150,1900
2026-02-02,East,Widget B,70,2800,1700
2026-02-02,West,Widget B,5,200,150
2026-02-09,North,Widget A,150,4500,2600
2026-02-09,South,Widget A,110,3300,2000
2026-02-09,East,Widget B,68,2720,1650
2026-02-09,West,Widget B,55,2200,1350
